# classes list for anderius - custom order
255, def, def, def, def,  def, def, def, def, def, def;
41, def, def, def, def,  def, def, def, def, def, def;
43, def, def, def, def,  def, def, def, def, def, def;
44, def, def, def, def,  def, def, def, def, def, def;
45, def, def, def, def,  def, def, def, def, def, def;
46, def, def, def, def,  def, def, def, def, def, def;
47, def, def, def, def,  def, def, def, def, def, def;
48, def, def, def, def,  def, def, def, def, def, def;
49, def, def, def, def,  def, def, def, def, def, def;
50, def, def, def, def,  def, def, def, def, def, def;
51, def, def, def, def,  def, def, def, def, def, def;
52, def, def, def, def,  def, def, def, def, def, def;
53, def, def, def, def,  def, def, def, def, def, def;
54, def, def, def, def,  def, def, def, def, def, def;
55, def, def, def, def,  def, def, def, def, def, def;
56, def, def, def, def,  def, def, def, def, def, def;
57, def, def, def, def,  def, def, def, def, def, def;
58, def, def, def, def,  def, def, def, def, def, def;
59, def, def, def, def,  def, def, def, def, def, def;
60, def, def, def, def,  def, def, def, def, def, def;
61, def, def, def, def,  def, def, def, def, def, def;
62, def, def, def, def,  def, def, def, def, def, def;
66, def, def, def, def,  def, def, def, def, def, def;
67, def, def, def, def,  def, def, def, def, def, def;
68, def, def, def, def,  def, def, def, def, def, def;
69, def, def, def, def,  def, def, def, def, def, def;
70, def, def, def, def,  def, def, def, def, def, def;
71, def, def, def, def,  def, def, def, def, def, def;
72, def, def, def, def,  def, def, def, def, def, def;
73, def, def, def, def,  def, def, def, def, def, def;
75, def, def, def, def,  def, def, def, def, def, def;
76, def, def, def, def,  def, def, def, def, def, def;
78, def, def, def, def,  def, def, def, def, def, def;
79, def, def, def, def,  def, def, def, def, def, def;
80, def, def, def, def,  def, def, def, def, def, def;
81, def, def, def, def,  def, def, def, def, def, def;
82, def, def, def, def,  def, def, def, def, def, def;
83, def, def, def, def,  def, def, def, def, def, def;
84, def, def, def, def,  def, def, def, def, def, def;
87, def, def, def, def,  def, def, def, def, def, def;
88, def, def, def, def,  def, def, def, def, def, def;
89, def, def, def, def,  def, def, def, def, def, def;
91, def, def, def, def,  def, def, def, def, def, def;
92, def, def, def, def,  def, def, def, def, def, def;
93, def, def, def, def,  def, def, def, def, def, def;
95, def, def, def, def,  def, def, def, def, def, def;
96, def, def, def, def,  def, def, def, def, def, def;
97, def, def, def, def,  def, def, def, def, def, def;
98, def, def, def, def,  def, def, def, def, def, def;
99, def, def, def, def,  def, def, def, def, def, def;
100, def, def, def, def,  def, def, def, def, def, def;
101, def, def, def, def,  def, def, def, def, def, def;
102, def, def, def, def,  def, def, def, def, def, def;
103, def, def, def, def,  def, def, def, def, def, def;
104, def, def, def, def,  def, def, def, def, def, def;
105, def, def, def, def,  def, def, def, def, def, def;
106, def, def, def, def,  def, def, def, def, def, def;
107, def, def, def, def,  def, def, def, def, def, def;
108, def, def, def, def,  def, def, def, def, def, def;
109, def, def, def, def,  def, def, def, def, def, def;
110, def, def, def, def,  def, def, def, def, def, def;
111, def, def, def, def,  def, def, def, def, def, def;
112, def, def, def, def,  def, def, def, def, def, def;
113, def, def, def, def,  def, def, def, def, def, def;
114, def, def, def, def,  def, def, def, def, def, def;
115, def, def, def, def,  def, def, def, def, def, def;
116, def, def, def, def,  def, def, def, def, def, def;
117, def, def, def, def,  def, def, def, def, def, def;
118, def, def, def, def,  def, def, def, def, def, def;
120, def, def, def, def,  def, def, def, def, def, def;
121, def, def, def, def,  def, def, def, def, def, def;
122, def, def, def, def,  def, def, def, def, def, def;
123, def, def, def, def,  def, def, def, def, def, def;
124, def, def, def, def,  def, def, def, def, def, def;
125, def, def, def, def,  def, def, def, def, def, def;
126, def, def, def, def,  def, def, def, def, def, def;
128, def, def, def, def,  def, def, def, def, def, def;
129, def, def, def, def,  def, def, def, def, def, def;
131, def, def, def, def,  def, def, def, def, def, def;
133, def, def, def, def,  def, def, def, def, def, def;
134, def, def, def, def,  def, def, def, def, def, def;
135, def, def, def, def,  def, def, def, def, def, def;
136, def, def, def, def,  def, def, def, def, def, def;
137, def, def, def, def,  def, def, def, def, def, def;
139, def, def, def, def,  def, def, def, def, def, def;
140, def, def, def, def,  def, def, def, def, def, def;
141, def, def, def, def,  def, def, def, def, def, def;
142, def, def, def, def,  def, def, def, def, def, def;
143, def, def, def, def,  def, def, def, def, def, def;
144, def, def, def, def,  def, def, def, def, def, def;
145, def, def, def, def,  def, def, def, def, def, def;
146, def, def, def, def,  def, def, def, def, def, def;
147, def, def, def, def,  def, def, def, def, def, def;
148, def, def, def, def,  def, def, def, def, def, def;
150, def, def, def, def,  def, def, def, def, def, def;
151, def, def, def, def,  def, def, def, def, def, def;
153, def, def, def, def,  def, def, def, def, def, def;
154, def, def, def, def,  def, def, def, def, def, def;
155, def, def, def, def,  def, def, def, def, def, def;
156, def, def, def, def,  def, def, def, def, def, def;
157, def, def, def, def,  def, def, def, def, def, def;
158, def, def, def, def,  def, def, def, def, def, def;
159, def, def, def, def,  def, def, def, def, def, def;
160, def, def, def, def,  def, def, def, def, def, def;
161, def, def, def, def,  def, def, def, def, def, def;
162, def, def, def, def,  def, def, def, def, def, def;
163, def, def, def, def,  def, def, def, def, def, def;
164, def, def, def, def,  def, def, def, def, def, def;
165, def, def, def, def,  def, def, def, def, def, def;
166, def, def, def, def,  def, def, def, def, def, def;
167, def, def, def, def,  def, def, def, def, def, def;
168, def, def, def, def,  def, def, def, def, def, def;
169, def, def, def, def,  def, def, def, def, def, def;
170, def, def, def, def,  def, def, def, def, def, def;
171, def, def, def, def,  def, def, def, def, def, def;
172, def, def, def, def,  def, def, def, def, def, def;
173, def, def, def, def,  def, def, def, def, def, def;
174, def, def, def, def,  def, def, def, def, def, def;
175, def, def, def, def,  def, def, def, def, def, def;
176, def, def, def, def,  def, def, def, def, def, def;
177, def, def, def, def,  def, def, def, def, def, def;
179, def, def, def, def,  def, def, def, def, def, def;
180, def, def, def, def,  def, def, def, def, def, def;
181, def, def, def, def,  def, def, def, def, def, def;
183, def, def, def, def,  def, def, def, def, def, def;
184, def, def, def, def,  def, def, def, def, def, def;
185, def, def, def, def,  def, def, def, def, def, def;
186, def, def, def, def,  def, def, def, def, def, def;
187, def, def, def, def,  def, def, def, def, def, def;
188, def, def, def, def,  def, def, def, def, def, def;
189, def, def, def, def,  def, def, def, def, def, def;
190, def, def, def, def,  def, def, def, def, def, def;
191, def, def, def, def,  def, def, def, def, def, def;
192, def, def, def, def,  def, def, def, def, def, def;
193, def, def, def, def,  def, def, def, def, def, def;
194, def, def, def, def,  def, def, def, def, def, def;
195, def, def, def, def,  def, def, def, def, def, def;
196, def, def, def, def,  def, def, def, def, def, def;
197, def, def, def, def,  def, def, def, def, def, def;
198, def, def, def, def,  def, def, def, def, def, def;
199, def, def, def, def,  def, def, def, def, def, def;
200, def, def, def, def,  def, def, def, def, def, def;
201, def, def, def, def,  def, def, def, def, def, def;
202, def, def, def, def,  def, def, def, def, def, def;
203, def, def, def, def,  def, def, def, def, def, def;
204, def, def, def, def,  def, def, def, def, def, def;
205, def, def, def, def,  def, def, def, def, def, def;
206, def, def, def, def,  def, def, def, def, def, def;
207, def, def, def, def,  def, def, def, def, def, def;
209, def, def, def, def,  def, def, def, def, def, def;
210, def, def, def, def,  def, def, def, def, def, def;
211, def, def, def, def,  def, def, def, def, def, def;
212, def, def, def, def,  def, def, def, def, def, def;
213, def, def, def, def,  def, def, def, def, def, def;
214, def, def, def, def,  def, def, def, def, def, def;
215, def, def, def, def,  def, def, def, def, def, def;
216, def, def, def, def,  def, def, def, def, def, def;
217, def, def, def, def,  def, def, def, def, def, def;
218, def, def, def, def,  def, def, def, def, def, def;
219, def, def, def, def,  def, def, def, def, def, def;
220, def, def, def, def,  def, def, def, def, def, def;
221, def, def, def, def,  def, def, def, def, def, def;
222, def, def, def, def,  def, def, def, def, def, def;
223, def, def, def, def,  def, def, def, def, def, def;
224, def, def, def, def,  def, def, def, def, def, def;
225, def, def, def, def,  def, def, def, def, def, def;
226, def, def, def, def,  def, def, def, def, def, def;
227, def, def, def, def,  def, def, def, def, def, def;
228, def, def, def, def,  def, def, def, def, def, def;
229, def, def, def, def,  def, def, def, def, def, def;
230, def, def, def, def,  def, def, def, def, def, def;
231, def, def, def, def,  def, def, def, def, def, def;
232, def, def, def, def,  def, def, def, def, def, def;
233, def, def, def, def,  def, def, def, def, def, def;
234, def, def, def, def,  def, def, def, def, def, def;
235, def, def, def, def,  def, def, def, def, def, def;
236, def, def, def, def,  def, def, def, def, def, def;
237, def, def, def, def,  def, def, def, def, def, def;
238, def, def, def, def,  def, def, def, def, def, def;
239, def, def, def, def,  def, def, def, def, def, def;
240, def, def, def, def,  def, def, def, def, def, def;
241, def, def, def, def,  def, def, def, def, def, def;
242, def, def, def, def,  def, def, def, def, def, def;
247, def, def, def, def,  def, def, def, def, def, def;
248, def, def, def, def,  def, def, def, def, def, def;
249, def, def, def, def,  def, def, def, def, def, def;
250, def, def, def, def,  def, def, def, def, def, def;
251, def, def, def, def,  def, def, def, def, def, def;
252, def, def, def, def,  def, def, def, def, def, def;
253, def, def, def, def,  def, def, def, def, def, def;
299, def, def, def, def,  def, def, def, def, def, def;
298, def, def, def, def,  def, def, def, def, def, def;
297, def, def, def, def,  def, def, def, def, def, def;
296, def, def, def, def,  def, def, def, def, def, def;
295, def, def, def, def,  def, def, def, def, def, def;
294, def, def, def, def,  def, def, def, def, def, def;
293, def, def, def, def,  def, def, def, def, def, def;
292, def, def, def, def,  def, def, def, def, def, def;
291, def, def, def, def,  def, def, def, def, def, def;
290, def, def, def, def,  def, def, def, def, def, def;
